topic_id,representative_idea,representative_why,primary_cat,all_categories,quality,num_unique_ideas,num_total_claims,num_speakers,num_videos,top_ideas,speakers,asset,market,freq,india
1,The speakers argue trend following is a divergent strategy that profits by cutting losers and following winners across markets.,Divergence creates cross-market return dispersion.,STRATEGY,"[""STRATEGY"", ""RISK"", ""MICROSTRUCTURE"", ""MARKET_STRUCTURE"", ""ALT_DATA""]",high,158,500,155,328,"[H] The speakers argue trend following is a divergent strategy that profits by cutting losers and follow | [H] He says trend is also predictive across time, so stronger trending regimes justify larger trend allo | [H] A chapter-one table shows a 50/50 trend-following equities and bonds mix over 800 years with low cor | [H] Ryan frames trend-following as momentum long-short across assets that can profit during dislocations | [H] Trend-following adds systematic downside control versus buy-and-hold by actively managing risk and c","[""Adam Butler"", ""Adam Butler, Mike Philbrick, Rodrigo Gordillo"", ""Alan Dunn"", ""Alan Dunne"", ""Alfonso Peccatiello"", ""Andreas Clenow"", ""Andrew Beer"", ""Andrew Beer and Tom Roble"", ""Andrew Lo"", ""Andrew Miller""]",multi,global,daily,adaptable
2,They think the Fed can cut 50 to 100 basis points over six to nine months if growth softens and recession risk rises.,Risk management easing outweighs current inflation stickiness.,RISK,"[""STRATEGY"", ""MARKET_STRUCTURE"", ""MACRO"", ""RISK""]",high,95,159,85,124,"[H] They think the Fed can cut 50 to 100 basis points over six to nine months if growth softens and rece | [H] Bond markets shifted from pricing multiple Fed cuts this year to roughly a coin flip on whether any  | [H] Jay Barry expects the Fed to cut quarterly from December, totaling 100 bps, reaching 3.5% to 3.75% b | [H] A dovish Fed risks pushing stocks and credit tighter, easing financial conditions too much and poten | [H] A jobs report with firmer average hourly earnings and lower unemployment could push out more Fed eas","[""Adam Butler"", ""Adam Posen"", ""Akat"", ""Akshat Shrivastava"", ""Alan Dunn"", ""Alan Dunne"", ""Alfonso Peccatiello"", ""Andrew Smithers"", ""Andrew Tyler"", ""Andrew Tyler / John Schlegel""]",unspecified,us,monthly,unlikely
3,He argues trend-following underperforms stocks partly because CTAs lack stock-only funds or meaningful equity exposure.,Stock exposure would align returns with what investors currently want.,STRATEGY,"[""STRATEGY"", ""MARKET_STRUCTURE"", ""ALT_DATA"", ""RISK""]",high,93,152,81,116,"[H] He argues trend-following underperforms stocks partly because CTAs lack stock-only funds or meaningf | [H] CTA indices were down roughly 5% to 6.5% in April, while the short-term traders index fell only abou | [H] CTAs were hurt mostly in financials, especially equities and currencies, with JGB shorts adding seve | [H] Short bonds and short rates were major CTA profit drivers in 2022 and again helped in 2023. | [H] They intentionally do not scale back trades when volatility rises, unlike many CTAs that target lowe","[""Adam Butler"", ""Alan Higgins"", ""Andrew Beer"", ""Andrew Beer and Tom Roble"", ""Andrew Tyler and John Schlagel"", ""Anthony Todd"", ""Aref Karim"", ""Aun Duws and Philippe Gasil"", ""Bill Dreiss"", ""Chris Kennedy""]",equities,global,daily,adaptable
4,"He argues stocks and bonds can correlate in stress, as seen in 2022, so permanent 60/40-style allocation can drag performance.",Correlation breaks diversification when it matters most.,RISK,"[""STRATEGY"", ""MARKET_STRUCTURE"", ""ALT_DATA"", ""RISK""]",high,81,137,80,113,"[H] He argues stocks and bonds can correlate in stress, as seen in 2022, so permanent 60/40-style alloca | [H] In 2022, the largest differentiator across trend managers was the size of the bond short. | [H] He expects risk assets to weaken because real risk-free rates are turning positive, pushing allocato | [H] Adding long equities, long commodities, or other risk premia can mute the crisis payoff of a trend p | [H] Fixed-income direction depends on inflation, economic activity, money growth, and credit growth, whi","[""Adam"", ""Adam Butler"", ""Adam Butler, Mike Philbrick, Rodrigo Gordillo"", ""Alan Dunne"", ""Alex Gurevich"", ""Alfonso Peccatiello and Andreas Steno Larsen"", ""Andrew"", ""Andrew Beer"", ""Anna St. Nikita"", ""Antti Ilmanen""]",multi,global,daily,adaptable
5,"He claims diversification is the only free lunch, but the marginal benefit drops quickly; with pairwise correlation 0.5, 7–8 strategies nearly reaches the asymptote.",Highly correlated strategies add little incremental variance reduction.,STRATEGY,"[""STRATEGY"", ""RISK"", ""MICROSTRUCTURE"", ""MARKET_STRUCTURE"", ""ALT_DATA""]",high,60,107,73,87,"[H] He claims diversification is the only free lunch, but the marginal benefit drops quickly; with pairw | [H] Diversification across managers matters because similar trend followers can have correlation around  | [H] They abandoned pure diversification because, post-GFC, central banks made many markets move together | [H] He argues the last decade’s macro shocks made fundamentals matter less and caused markets to move ma | [H] All models are assumed partially wrong, so portfolio construction explicitly expects some signals to","[""Adam Butler / Mike Philbrick / Rodrigo Gordillo"", ""Akat"", ""Alan Dunne"", ""Alejandro Rodriguez Dom\u00ednguez"", ""Alexander de Brun"", ""Alpha Architect"", ""Amy flickery"", ""Anthony Todd"", ""Aoifinn Devitt"", ""Bastian Bolesta""]",multi,global,daily,adaptable
6,He says one purely systematic trader evolved from trend following to countertrend and then to mixed models as markets changed.,Strategy adaptation is necessary when regimes invalidate prior edges.,STRATEGY,"[""MICROSTRUCTURE"", ""STRATEGY"", ""MARKET_STRUCTURE"", ""RISK""]",high,84,133,72,121,"[H] He says one purely systematic trader evolved from trend following to countertrend and then to mixed  | [H] Bill says he moved away from pure Turtle rules because trading success depends on risk management an | [H] Campbell starts with an intuitive investment thesis, then codifies it with data, backtests, and opti | [H] He argues finance uses overly simplistic toy models that are overfit and false in journals. | [H] He says his approach focuses on market outliers and anomalies, while others take a more fundamental ","[""Aat"", ""Aat? (channel host not explicitly named)"", ""Ahan Menon"", ""Akshat Rohatgi"", ""Akshat Shrivastava"", ""Andrea Unger"", ""Andreas Clenow"", ""Andy Constan"", ""Antti Ilmanen"", ""Bill Eckhardt""]",equities,global,daily,adaptable
7,"The strategy had only positive years since 2014 and 64% positive months, but its worst month was -14.5% in February 2020.",Crash regimes can overwhelm historical mean reversion.,RISK,"[""STRATEGY"", ""MARKET_STRUCTURE"", ""RISK""]",high,78,103,71,99,"[H] The strategy had only positive years since 2014 and 64% positive months, but its worst month was -14 | [H] A major open problem is identifying when a trend has become fully valued and reversion should start. | [H] He warns long-term trend signals can 'hit the wall at 100 miles an hour' when reversals arrive, espe | [H] They remove or alter models when a new regime invalidates the original thesis, rather than waiting f | [H] After this shock, buyers are expected to demand bigger discounts and avoid full-size allocations to ","[""Adam Butler / Mike Philbrick / Rodrigo Gordillo"", ""Adam Butler, Mike Philbrick, Rodrigo Gordillo"", ""Alan Dunne"", ""Alex Gurevich"", ""Andrew Baxter"", ""Andrew Beer"", ""Anna's Lyndell"", ""Aref Karim"", ""Bill Dreiss"", ""Bill Dries""]",equities,us,daily,adaptable
8,"Momentum was applied to the aggregate U.S. market, trading only the direction of market momentum rather than stock deciles.","They target broad-market timing, not cross-sectional selection.",STRATEGY,"[""STRATEGY"", ""MARKET_STRUCTURE"", ""TOOL"", ""RISK""]",high,79,170,68,115,"[H] Momentum was applied to the aggregate U.S. market, trading only the direction of market momentum rat | [H] Momentum works across stocks, indices, sectors, bonds, commodities, and currencies, with evidence ex | [H] He prefers dual momentum for commodities and managed futures because it enters only when the market  | [H] Stock momentum has extreme turnover, often around 300% annually and up to 10 times a value portfolio | [H] Lessmann estimated momentum trading costs at 7% of assets annually, wiping out stock-momentum profit","[""Akat"", ""Akshat Shrivastava"", ""Alan Clement"", ""Alpha Architect"", ""Andreas Clenow"", ""Andrew Beer"", ""Andrew Miller"", ""Benn Eifert"", ""Bill Gart"", ""Brian Proctor""]",equities,us,daily,adaptable
9,Binder argues the channel is expectations: mere fear that the central bank may cave raises inflation expectations now.,Expected future easing lifts current prices.,RISK,"[""STRATEGY"", ""MARKET_STRUCTURE"", ""MACRO"", ""RISK""]",high,63,98,62,79,"[H] Binder argues the channel is expectations: mere fear that the central bank may cave raises inflation | [H] The Fed now faces sticky inflation around 2.5%–2.75% PCE while tariffs add a goods-side supply shock | [H] Even when central banks resisted political pressure, inflation still rose, just less than when they  | [H] He expects energy and food inflation to surge over the next two years because of war disruptions, fe | [H] He argues the UK is caught between U.S.-style fiscal and inflation pressures and Euro-area easing, m","[""Adam Butler"", ""Adam Posen"", ""Adam Rozencwajg"", ""Akshat Shrivastava"", ""Alan Dunne"", ""Alfonso Peccatiello"", ""Andrew Tyler"", ""Andrew Tyler and John Schlagel"", ""Anna Stupnytska"", ""Bob""]",unspecified,global,unclear,adaptable
10,Price-range compression across markets reduced trend-following opportunities by shrinking available trend size over rolling three- and six-month windows.,Smaller ranges mean fewer exploitable directional moves.,MARKET_STRUCTURE,"[""STRATEGY"", ""MARKET_STRUCTURE"", ""RISK""]",high,67,103,61,93,"[H] As participation increases, different entry and exit times create noise, so trend traders must exten | [H] Price-range compression across markets reduced trend-following opportunities by shrinking available  | [H] Over the last 8-12 years, exogenous shocks and faster arbitrage have made systematic macro more chal | [H] Breadth was strong: average 75% of S&P 500 members traded above the 200-day moving average this year | [H] ETFs now account for over one-third of trading volume on a typical day, while individual stocks acco","[""Aat"", ""Akshat Shrivastava"", ""Alan Dunne"", ""Andrew B"", ""Andrew Beer"", ""Andrew Lo"", ""Andrew Tyler and John Schlagel"", ""Anna Stupnytska"", ""Asif Noor"", ""Chi Anzhu""]",futures,global,daily,adaptable
